bibno|copyno|bid|date_key
221|44263|339|1995-02-28
9959|42040|576|1995-02-28
1228|45000|167|1995-02-28
1228|45000|167|1995-02-28
20391|47187|1|1995-03-01
10551|42355|577|1995-03-01
5190|40301|578|1995-03-01
19801|46959|78|1995-03-01
20555|47132|174|1995-03-01
20468|47157|174|1995-03-01
20177|46978|15|1995-03-01
20168|46974|15|1995-03-01
20275|47077|15|1995-03-01
20181|46976|15|1995-03-01
20188|46975|15|1995-03-01
966|44836|579|1995-03-01
3748|23133|400|1995-03-07
218|43184|400|1995-03-07
6284|32742|400|1995-03-07
3467|47230|580|1995-03-07
1012|46715|580|1995-03-07
13553|46503|235|1995-03-07
13040|20277|235|1995-03-07
3226|41964|142|1995-03-07
4312|35465|249|1995-03-07
2593|31041|249|1995-03-07
8097|36135|249|1995-03-07
5973|43197|408|1995-03-07
9436|29855|255|1995-03-07
17157|21187|254|1995-03-07
11925|46946|254|1995-03-07
14560|36353|280|1995-03-07
4041|35174|280|1995-03-07
2634|32021|280|1995-03-07
8919|31168|270|1995-03-07
3467|47228|270|1995-03-07
8|44337|199|1995-03-07
1012|47244|199|1995-03-07
7900|20429|193|1995-03-07
6174|43673|33|1995-03-07
11018|46595|33|1995-03-07
6229|28030|482|1995-03-07
1753|45269|482|1995-03-07
968|44869|482|1995-03-07
20514|47170|170|1995-03-07
19608|46947|170|1995-03-07
19782|46945|170|1995-03-07
20472|47177|95|1995-03-07
20430|47178|95|1995-03-07
20559|47179|95|1995-03-07
20576|47231|95|1995-03-07
20442|47185|95|1995-03-07
12642|47089|62|1995-03-07
20269|47078|171|1995-03-07
19649|46950|179|1995-03-07
19740|46960|114|1995-03-08
19948|46985|30|1995-03-08
20311|47099|30|1995-03-08
20376|47120|30|1995-03-08
20387|46966|30|1995-03-08
20411|47169|30|1995-03-08
206|44242|581|1995-03-08
153|44461|245|1995-03-08
20367|47108|25|1995-03-08
20374|47109|25|1995-03-08
20577|47227|25|1995-03-08
11850|30178|582|1995-03-08
4481|29863|468|1995-03-08
13148|46348|468|1995-03-08
4747|19232|468|1995-03-08
1195|44729|583|1995-03-08
7922|30096|379|1995-03-08
353|46854|379|1995-03-08
11513|43760|494|1995-03-08
20537|47141|89|1995-03-09
20584|47234|89|1995-03-09
20580|47233|89|1995-03-09
20566|47138|89|1995-03-09
1262|44796|584|1995-03-09
353|46855|260|1995-03-09
9434|34509|295|1995-03-09
9434|34516|586|1995-03-09
9434|34511|582|1995-03-09
4181|35511|582|1995-03-09
20007|46956|24|1995-03-09
1217|44962|400|1995-03-09
19947|46987|60|1995-03-09
7818|29178|234|1995-03-10
11339|30172|234|1995-03-10
147|44455|587|1995-03-10
18239|46649|204|1995-03-10
10588|42005|559|1995-03-10
3393|40990|519|1995-03-10
15052|46598|222|1995-03-10
19629|46948|336|1995-03-10
3467|46402|336|1995-03-10
103|36098|339|1995-03-14
8276|43777|589|1995-03-14
1444|45795|441|1995-03-14
7646|26213|590|1995-03-14
7670|38918|590|1995-03-14
3126|45320|591|1995-03-14
12280|46123|591|1995-03-14
9688|45632|591|1995-03-14
5987|29949|592|1995-03-14
966|44836|579|1995-03-14
11917|43326|358|1995-03-14
20543|47184|58|1995-03-14
20571|47136|58|1995-03-14
20038|47000|58|1995-03-14
19918|47001|58|1995-03-14
19364|47190|70|1995-03-14
19364|47189|70|1995-03-14
19364|47188|70|1995-03-14
20520|47191|70|1995-03-14
20526|47194|70|1995-03-14
20523|47193|70|1995-03-14
1157|44675|70|1995-03-14
19844|47024|70|1995-03-14
9438|34072|454|1995-03-14
12357|34323|593|1995-03-14
2583|42380|366|1995-03-14
1379|45103|594|1995-03-14
19543|42333|507|1995-03-14
13605|46437|389|1995-03-14
6133|35016|14|1995-03-14
10979|36508|595|1995-03-14
20491|47160|54|1995-03-14
20470|47158|54|1995-03-14
20484|47159|54|1995-03-14
20544|47162|54|1995-03-14
20529|47164|54|1995-03-14
20518|47163|54|1995-03-14
20500|47161|54|1995-03-14
14092|43702|596|1995-03-14
16405|26511|244|1995-03-14
2249|45623|244|1995-03-14
9610|43196|597|1995-03-14
13187|46365|598|1995-03-15
2883|35558|598|1995-03-15
3467|47230|599|1995-03-15
6652|43966|600|1995-03-15
6903|45521|600|1995-03-15
7037|24652|581|1995-03-15
6485|41168|602|1995-03-15
9229|41172|602|1995-03-15
5845|27127|602|1995-03-15
8604|42570|603|1995-03-15
11013|45783|604|1995-03-15
4502|43341|605|1995-03-15
9638|38723|606|1995-03-15
4123|24245|606|1995-03-15
3655|39764|606|1995-03-15
7496|35479|607|1995-03-15
10592|42112|607|1995-03-15
1420|45122|608|1995-03-15
1364|45073|608|1995-03-15
1363|45074|608|1995-03-15
20574|47154|73|1995-03-15
20615|47156|73|1995-03-15
20616|47155|73|1995-03-15
10224|45811|571|1995-03-15
4387|43103|571|1995-03-15
13600|46475|610|1995-03-15
6868|34261|610|1995-03-15
8781|43954|612|1995-03-15
20114|47091|52|1995-03-15
2853|40046|568|1995-03-15
16098|28229|614|1995-03-16
18290|46670|614|1995-03-16
20483|47165|297|1995-03-16
20404|46965|297|1995-03-16
20290|47068|297|1995-03-16
20501|47172|297|1995-03-16
20534|47171|297|1995-03-16
11627|43528|413|1995-03-16
8935|42956|518|1995-03-16
8919|31171|615|1995-03-16
12198|33470|619|1995-03-16
8029|41801|619|1995-03-16
3502|35584|620|1995-03-16
8329|26763|620|1995-03-16
10465|45890|185|1995-03-16
10476|45881|185|1995-03-16
20337|47080|185|1995-03-16
20321|46958|185|1995-03-16
9434|34516|621|1995-03-16
9434|34518|622|1995-03-16
5521|34030|623|1995-03-16
11736|43530|504|1995-03-16
11004|43455|504|1995-03-16
18307|46671|625|1995-03-16
18172|46609|625|1995-03-16
8606|44064|386|1995-03-17
11925|46946|538|1995-03-17
18232|46654|627|1995-03-20
19972|47097|593|1995-03-20
3571|40006|628|1995-03-20
11080|42745|629|1995-03-20
10391|45702|629|1995-03-20
3436|42323|630|1995-03-20
7498|34288|631|1995-03-20
18232|46652|631|1995-03-20
13402|42335|632|1995-03-20
12211|33379|634|1995-03-20
7638|34493|634|1995-03-20
12044|46006|635|1995-03-20
10599|41506|635|1995-03-20
4711|19557|636|1995-03-20
8650|28814|636|1995-03-20
7112|29347|636|1995-03-20
13569|46516|495|1995-03-20
13688|46512|495|1995-03-20
10880|42883|495|1995-03-20
5340|36313|637|1995-03-20
1909|25145|637|1995-03-20
20618|47174|180|1995-03-20
20344|47083|180|1995-03-20
20345|47084|180|1995-03-20
43390|42177|199|1995-03-21
12199|33456|199|1995-03-21
9129|24657|544|1995-03-21
3467|47229|638|1995-03-21
103|36098|638|1995-03-21
7607|45539|260|1995-03-21
1012|46715|260|1995-03-21
6549|25869|576|1995-03-21
3467|46402|576|1995-03-21
14127|42179|639|1995-03-21
5047|43165|639|1995-03-21
