bid,gender,department
1,M,Informatics
2,M,Low
3,M,BusinessAdministration
5,M,Mathematics
6,M,Low
7,M,Economics
8,M,Economics
9,M,Economics
10,M,Economics
11,M,Informatics
13,M,Physics
14,M,Informatics
15,M,Informatics
16,M,Economics
17,M,Informatics
18,M,Economics
19,M,BusinessAdministration
20,M,Mathematics
21,M,Mathematics
22,M,Economics
23,M,Economics
24,M,BusinessAdministration
25,M,Informatics
26,M,Statistics
27,M,BusinessAdministration
28,M,Economics
29,M,Physics
30,M,Physics
31,M,Informatics
32,M,Mathematics
33,M,Economics
34,M,BusinessAdministration
35,M,Economics
36,M,BusinessAdministration
37,M,Mathematics
38,M,Mathematics
39,M,Physics
40,M,Informatics
42,M,Economics
43,M,Economics
45,M,Mathematics
46,M,Informatics
47,M,Informatics
48,M,Economics
49,M,Informatics
50,M,Mathematics
52,M,Physics
53,M,Low
54,M,Informatics
55,M,Economics
56,M,Economics
57,M,Low
58,M,Physics
59,M,Physics
60,M,Informatics
61,M,Statistics
62,M,Informatics
63,M,Mathematics
64,M,Physics
65,M,BusinessAdministration
66,M,BusinessAdministration
67,M,Mathematics
68,M,BusinessAdministration
69,M,Mathematics
70,M,Mathematics
71,M,BusinessAdministration
72,M,Mathematics
73,M,Low
75,M,Physics
76,M,Low
77,M,Mathematics
78,M,Informatics
79,M,Informatics
80,M,Mathematics
81,M,Informatics
83,M,Physics
84,M,Physics
85,M,Low
86,M,Economics
87,M,Informatics
88,M,Mathematics
89,M,Mathematics
91,M,Low
92,M,Informatics
93,M,Low
94,M,Informatics
95,M,Psychology
96,M,Economics
97,M,Economics
98,M,Economics
100,M,Mathematics
101,M,Mathematics
102,M,Mathematics
103,M,Mathematics
104,M,Mathematics
105,M,Mathematics
106,M,Mathematics
107,M,Economics
108,M,Informatics
109,M,Low
110,M,Mathematics
111,M,Economics
112,M,Physics
113,M,Mathematics
114,M,Economics
115,M,BusinessAdministration
117,M,Mathematics
118,M,Mathematics
119,M,Economics
120,M,Informatics
121,M,BusinessAdministration
122,M,Economics
123,M,Physics
125,M,Mathematics
126,M,Economics
127,M,Informatics
128,M,Informatics
129,M,Mathematics
130,M,Physics
131,M,BusinessAdministration
132,M,Mathematics
133,M,Economics
134,M,Informatics
135,M,Physics
136,M,Mathematics
137,M,Mathematics
138,M,Economics
139,M,BusinessAdministration
140,M,BusinessAdministration
141,M,Mathematics
142,M,BusinessAdministration
143,M,Economics
